 ZIP Code,Year,AnnualChange (%),HPI,HPI with 1990 base,HPI with 2000 base,tract,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio
78232,2017,6.44,348.96,245.73,191.31,48029191701,SAN ANTONIO,TX,0.036213655,0.098680997,0.075801749,0.043473798
78233,2017,5.51,327.96,263.36,182.8,48029121501,SAN ANTONIO,TX,0.115873317,0.100472016,0.149384886,0.115710335
78237,2017,11.49,117.73,.,.,48029980100,SAN ANTONIO,TX,0.000375573,0.001046025,0,0.000413822
78239,2017,8.65,164.28,210.15,179.39,48029121508,SAN ANTONIO,TX,0.15835585,0.182370821,0.135483871,0.158698905
78242,2017,17.59,198.94,.,.,48029980100,SAN ANTONIO,TX,0,0.030769231,0,0.000517197
78244,2017,14.23,196,.,163.58,48029131506,SAN ANTONIO,TX,0.109052086,0.045774648,0.013333333,0.106665682
78244,2017,14.23,196,.,163.58,48029121508,SAN ANTONIO,TX,0.001601464,0,0,0.001550159
78245,2017,8.97,202.02,.,190.74,48029172007,SAN ANTONIO,TX,0.000560374,0,0,0.000542832
78245,2017,8.97,202.02,.,190.74,48029171922,SAN ANTONIO,TX,0.049072715,0.006153846,0,0.047691671
78245,2017,8.97,202.02,.,190.74,48029171919,SAN ANTONIO,TX,0.054649767,0.004102564,0.025423729,0.053197539
78251,2017,12.89,197.77,265.05,186.31,48029172007,SAN ANTONIO,TX,0.014499473,0.002081888,0.00625,0.013693793
78253,2017,10.94,231.49,.,178.98,48029172007,SAN ANTONIO,TX,0.250548685,0.034172662,0.062043796,0.244726596
78258,2017,.,144.92,186.73,152.54,48029191808,SAN ANTONIO,TX,0.126804454,0.017482517,0.029545455,0.116020278
78258,2017,.,144.92,186.73,152.54,48029121907,SAN ANTONIO,TX,0.010861097,0.074925075,0.111363636,0.017969748
78258,2017,.,144.92,186.73,152.54,48029191809,SAN ANTONIO,TX,0.016543696,0.004995005,0.006818182,0.015414417
78259,2017,24.76,198.07,214.01,166.47,48029121907,SAN ANTONIO,TX,0.019507032,0.040037244,0.055045872,0.021306128
78260,2017,3.62,194.63,235.57,165.75,48029191809,SAN ANTONIO,TX,0.206537091,0.055776892,0.011904762,0.202972902
78261,2017,-7.67,188.29,.,172.76,48029121907,SAN ANTONIO,TX,0.715408237,0.290322581,0.2,0.711891747
78263,2017,10.79,219.07,.,185.51,48029131802,SAN ANTONIO,TX,0.371330724,0.321428571,0.334862385,0.364609053
78263,2017,10.79,219.07,.,185.51,48029141900,SAN ANTONIO,TX,0.628669276,0.678571429,0.665137615,0.635390947
78266,2017,4.63,216.78,250.14,169.16,48029121907,SAN ANTONIO,TX,0.014177694,0.008528785,0.009259259,0.013329779
78380,2017,6.08,184.95,.,178.91,48355005802,ROBSTOWN,TX,0.207439614,0.091719745,0.16872428,0.198628933
78383,2017,0.95,141.64,.,.,48355005802,SANDIA,TX,0.134780642,0.04,0.086956522,0.133244799
78410,2017,0.58,305.55,233.83,168.12,48355005802,CORPUS CHRISTI,TX,0.007570544,0.193138501,0.088,0.020693468
78418,2017,0.43,322.41,261.98,188.64,48355002900,CORPUS CHRISTI,TX,0.016164629,0.002444988,0,0.014772727
78503,2017,3.27,155.69,.,146.28,48215020504,MCALLEN,TX,0.299408688,0.295923042,0.141428571,0.289286632
78504,2017,2.48,201.16,175.91,146.3,48215023504,MCALLEN,TX,0.000132159,0,0,0.000112608
78504,2017,2.48,201.16,175.91,146.3,48215024105,MCALLEN,TX,0.028546256,0.002825857,0.012612613,0.025149206
78520,2017,0.21,177.66,176.53,144.48,48061012506,BROWNSVILLE,TX,0.001502965,0.001667222,0.000700771,0.001480512
78520,2017,0.21,177.66,176.53,144.48,48061012505,BROWNSVILLE,TX,0.010398895,0.002667556,0.000700771,0.009124088
78521,2017,6.98,222.46,188.81,142.88,48061013207,BROWNSVILLE,TX,0.051411479,0.009733753,0.084660901,0.049491848
